K,portfolio_size,approximation,p_values
1,1,0.8988583895715831,[-100]
2,2,0.9193909010300653,"[-100, 1.0]"
3,3,0.9193909010300653,"[-100, 1.0, -49.5]"
4,4,0.9193909010300653,"[-100, 1.0, -49.5, -24.25]"
5,5,0.9193909010300653,"[-100, 1.0, -49.5, -24.25, -11.625]"
6,6,0.9193909010300653,"[-100, 1.0, -49.5, -24.25, -11.625, -5.312]"
7,7,0.9193909010300653,"[-100, 1.0, -49.5, -24.25, -11.625, -5.312, -2.156]"
8,8,0.9988504869642453,"[-100, 1.0, -49.5, -24.25, -11.625, -5.312, -2.156, -0.578]"
9,9,0.9989899793035797,"[-100, 1.0, -49.5, -24.25, -11.625, -5.312, -2.156, -0.578, -1.367]"
10,10,0.9989899793035797,"[-100, 1.0, -49.5, -24.25, -11.625, -5.312, -2.156, -0.578, -1.367, 0.211]"
